AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
8.0,8.0,0.0,17.0,6.0,1.0,Arsenal,1.61,3.6,5.5,1.65,3.4,4.9,2006-08-26,26,E0,0.0,1.0,H,2.0,16.0,0.0,10.0,3.0,0.0,1.0,H,1.0,Man City,1.75,3.3,4.2,08,U Rennie,1.7,3.4,5.0,06,0607
1.0,6.0,0.0,8.0,3.0,0.0,West Ham,7.5,4.0,1.44,8.0,4.25,1.35,2006-08-26,26,E0,1.0,2.0,H,6.0,15.0,0.0,19.0,8.0,1.0,2.0,H,1.0,Liverpool,6.5,3.7,1.45,08,A Wiley,7.5,3.8,1.45,06,0607
5.0,17.0,0.0,9.0,1.0,3.0,Sheffield United,4.0,3.25,1.9,3.9,3.15,1.9,2006-08-26,26,E0,0.0,1.0,H,9.0,17.0,0.0,10.0,5.0,0.0,1.0,H,3.0,Fulham,3.3,3.2,2.0,08,G Poll,4.0,3.4,1.85,06,0607
5.0,17.0,1.0,7.0,2.0,4.0,Bolton,2.8,3.1,2.5,2.9,3.1,2.3,2006-08-26,26,E0,0.0,2.0,H,6.0,11.0,1.0,9.0,5.0,0.0,0.0,D,1.0,Charlton,2.7,3.1,2.4,08,M Dean,2.75,3.25,2.4,06,0607
2.0,12.0,1.0,6.0,2.0,1.0,Everton,5.0,3.4,1.72,4.8,3.3,1.7,2006-08-26,26,E0,2.0,0.0,A,7.0,9.0,0.0,15.0,6.0,0.0,0.0,D,1.0,Tottenham,4.5,3.3,1.7,08,M Halsey,5.0,3.5,1.65,06,0607
3.0,12.0,0.0,8.0,5.0,2.0,Newcastle,3.0,3.1,2.37,2.9,3.1,2.3,2006-08-27,27,E0,0.0,2.0,H,2.0,14.0,0.0,9.0,7.0,0.0,2.0,H,2.0,Aston Villa,2.8,3.1,2.3,08,H Webb,3.0,3.3,2.25,06,0607
3.0,15.0,0.0,14.0,8.0,1.0,Chelsea,1.53,3.6,6.5,1.5,3.6,6.5,2006-08-27,27,E0,2.0,0.0,A,7.0,10.0,0.0,12.0,3.0,0.0,0.0,D,3.0,Blackburn,1.5,3.5,6.3,08,M Clattenburg,1.5,3.75,6.5,06,0607
6.0,9.0,0.0,10.0,7.0,1.0,Portsmouth,3.75,3.2,2.0,3.5,3.15,2.0,2006-08-28,28,E0,4.0,0.0,A,8.0,15.0,0.0,19.0,8.0,1.0,0.0,A,2.0,Middlesbrough,3.0,3.1,2.2,08,C Foy,3.5,3.25,2.0,06,0607
6.0,11.0,0.0,12.0,1.0,2.0,Blackburn,2.62,3.2,2.62,2.6,3.15,2.5,2006-09-09,09,E0,0.0,0.0,D,7.0,12.0,0.0,14.0,9.0,0.0,0.0,D,2.0,Sheffield United,2.6,3.1,2.5,09,M Dean,2.65,3.25,2.5,06,0607
7.0,12.0,0.0,8.0,5.0,1.0,Fulham,5.0,3.4,1.72,4.8,3.45,1.65,2006-09-09,09,E0,2.0,1.0,A,4.0,16.0,0.0,15.0,7.0,0.0,0.0,D,1.0,Newcastle,4.2,3.3,1.75,09,C Foy,5.0,3.5,1.65,06,0607
9.0,5.0,0.0,11.0,5.0,1.0,Wigan,4.5,3.25,1.83,4.4,3.2,1.8,2006-09-09,09,E0,0.0,1.0,H,6.0,14.0,0.0,9.0,7.0,0.0,0.0,D,0.0,Portsmouth,4.0,3.2,1.8,09,P Walton,4.35,3.25,1.85,06,0607
11.0,13.0,0.0,21.0,5.0,3.0,Liverpool,2.0,3.2,3.75,1.9,3.15,3.9,2006-09-09,09,E0,0.0,3.0,H,2.0,22.0,0.0,8.0,6.0,0.0,2.0,H,1.0,Everton,2.0,3.1,3.4,09,G Poll,2.0,3.25,3.5,06,0607
4.0,17.0,0.0,9.0,4.0,2.0,Tottenham,7.0,3.75,1.5,6.7,3.8,1.45,2006-09-09,09,E0,0.0,1.0,H,5.0,12.0,0.0,10.0,5.0,0.0,1.0,H,2.0,Man United,5.5,3.8,1.5,09,M Riley,7.5,3.75,1.45,06,0607
6.0,15.0,0.0,15.0,6.0,1.0,Watford,5.5,3.4,1.66,5.4,3.4,1.6,2006-09-09,09,E0,0.0,1.0,H,6.0,13.0,0.0,7.0,2.0,0.0,0.0,D,3.0,Bolton,4.3,3.4,1.7,09,M Clattenburg,6.0,3.5,1.55,06,0607
0.0,17.0,1.0,1.0,1.0,6.0,Middlesbrough,10.0,4.33,1.33,9.0,4.5,1.3,2006-09-09,09,E0,1.0,1.0,D,15.0,5.0,0.0,20.0,12.0,1.0,0.0,A,1.0,Arsenal,7.5,4.2,1.35,09,R Styles,9.5,5.0,1.28,06,0607
3.0,7.0,0.0,3.0,2.0,1.0,Charlton,17.0,5.5,1.2,13.0,6.5,1.15,2006-09-09,09,E0,1.0,2.0,H,6.0,12.0,0.0,19.0,6.0,0.0,1.0,H,2.0,Chelsea,11.0,5.2,1.2,09,A Wiley,11.0,7.0,1.17,06,0607
5.0,9.0,0.0,10.0,6.0,2.0,Aston Villa,3.5,3.2,2.1,3.25,3.2,2.1,2006-09-10,10,E0,1.0,1.0,D,3.0,15.0,0.0,7.0,1.0,1.0,0.0,A,2.0,West Ham,3.2,3.1,2.1,09,S Bennett,3.1,3.4,2.1,06,0607
4.0,16.0,1.0,15.0,8.0,4.0,Man City,3.1,3.1,2.3,2.95,3.15,2.25,2006-09-11,11,E0,0.0,1.0,H,6.0,6.0,0.0,12.0,7.0,0.0,1.0,H,0.0,Reading,2.8,3.1,2.3,09,H Webb,2.8,3.2,2.4,06,0607
4.0,19.0,0.0,14.0,7.0,1.0,Middlesbrough,3.75,3.2,2.0,3.35,3.15,2.05,2006-09-16,16,E0,0.0,0.0,D,9.0,7.0,0.0,13.0,3.0,0.0,0.0,D,0.0,Bolton,3.2,3.1,2.1,09,S Bennett,4.0,3.4,1.85,06,0607
4.0,10.0,0.0,12.0,5.0,2.0,Portsmouth,3.0,3.25,2.3,2.65,3.15,2.45,2006-09-16,16,E0,1.0,0.0,A,9.0,6.0,0.0,18.0,5.0,0.0,0.0,D,0.0,Charlton,2.6,3.1,2.5,09,P Dowd,2.65,3.25,2.5,06,0607
2.0,23.0,0.0,10.0,7.0,5.0,Wigan,5.0,3.4,1.72,5.25,3.5,1.6,2006-09-16,16,E0,2.0,2.0,D,4.0,14.0,0.0,14.0,9.0,0.0,0.0,D,1.0,Everton,4.8,3.6,1.6,09,A Wiley,5.5,3.5,1.6,06,0607
